index,title,question_id,answer_id,question_url,answer_url,loc_gpt,comments_gpt,comments_density_gpt,cc_gpt,npath_gpt,cognitive_gpt,var_names_gpt,mi_gpt,loc_stackoverflow,comments_stackoverflow,comments_density_stackoverflow,cc_stackoverflow,npath_stackoverflow,cognitive_stackoverflow,var_names_stackoverflow,mi_stackoverflow,up_votes,comment_count,answer_count,score,favorite_count
13,When to use LinkedList over ArrayList in Java?,322715,322742,https://stackoverflow.com/questions/322715/when-to-use-linkedlist-over-arraylist-in-java,https://stackoverflow.com/questions/322715/when-to-use-linkedlist-over-arraylist-in-java/322742#322742,23.0,4.0,0.1739130434782608,1.0,1.0,1.0,1.0,154.46543007716843,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,3576.0,3.0,33.0,3571.0,0.0
14,How do I convert a String to an int in Java?,5585779,5585800,https://stackoverflow.com/questions/5585779/how-do-i-convert-a-string-to-an-int-in-java,https://stackoverflow.com/questions/5585779/how-do-i-convert-a-string-to-an-int-in-java/5585800#5585800,5.0,0.0,0.0,1.0,1.0,1.0,1.0,162.40092285534269,19.0,0.0,0.0,1.0,1.0,1.0,1.0,155.45891730833452,3491.0,2.0,30.0,3462.0,0.0
16,Initialization of an ArrayList in one line,1005073,1005083,https://stackoverflow.com/questions/1005073/initialization-of-an-arraylist-in-one-line,https://stackoverflow.com/questions/1005073/initialization-of-an-arraylist-in-one-line/1005083#1005083,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,13.0,0.0,0.0,1.0,1.0,1.0,1.0,157.4322633412,3284.0,9.0,34.0,3275.0,0.0
17,"How do I test a class that has private methods, fields or inner classes?",34571,34658,https://stackoverflow.com/questions/34571/how-do-i-test-a-class-that-has-private-methods-fields-or-inner-classes,https://stackoverflow.com/questions/34571/how-do-i-test-a-class-that-has-private-methods-fields-or-inner-classes/34658#34658,5.0,0.0,0.0,1.0,1.0,1.0,1.0,162.40092285534269,10.0,0.0,0.0,1.0,1.0,1.0,1.0,158.79655751643097,3174.0,8.0,59.0,3167.0,0.0
19,How can I create an executable/runnable JAR with dependencies using Maven?,574594,574650,https://stackoverflow.com/questions/574594/how-can-i-create-an-executable-runnable-jar-with-dependencies-using-maven,https://stackoverflow.com/questions/574594/how-can-i-create-an-executable-runnable-jar-with-dependencies-using-maven/574650#574650,26.0,0.0,0.0,1.0,1.0,1.0,1.0,153.8278980022883,47.0,0.0,0.0,1.0,1.0,1.0,1.0,150.74923247110772,2844.0,5.0,33.0,2838.0,0.0
20,How can I fix &#39;android.os.NetworkOnMainThreadException&#39;?,6343166,6343299,https://stackoverflow.com/questions/6343166/how-can-i-fix-android-os-networkonmainthreadexception,https://stackoverflow.com/questions/6343166/how-can-i-fix-android-os-networkonmainthreadexception/6343299#6343299,25.0,5.0,0.2,4.0,2.0,1.0,9.0,117.7468075578386,23.0,2.0,0.0869565217391304,2.0,4.0,1.0,5.8,125.75813181281995,2704.0,4.0,66.0,2693.0,0.0
21,Does a finally block always get executed in Java?,65035,65049,https://stackoverflow.com/questions/65035/does-a-finally-block-always-get-executed-in-java,https://stackoverflow.com/questions/65035/does-a-finally-block-always-get-executed-in-java/65049#65049,35.0,0.0,0.0,4.0,1.0,1.0,1.0,151.59219008025505,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,2686.0,8.0,51.0,2666.0,0.0
22,How do I determine whether an array contains a particular value in Java?,1128723,1128728,https://stackoverflow.com/questions/1128723/how-do-i-determine-whether-an-array-contains-a-particular-value-in-java,https://stackoverflow.com/questions/1128723/how-do-i-determine-whether-an-array-contains-a-particular-value-in-java/1128728#1128728,18.0,0.0,0.0,4.0,6.0,5.0,5.6,127.1412479755341,8.0,0.0,0.0,1.0,1.0,1.0,4.8,134.54532611306055,2670.0,7.0,31.0,2661.0,0.0
23,How do I call one constructor from another in Java?,285177,285184,https://stackoverflow.com/questions/285177/how-do-i-call-one-constructor-from-another-in-java,https://stackoverflow.com/questions/285177/how-do-i-call-one-constructor-from-another-in-java/285184#285184,11.0,0.0,0.0,2.0,1.0,1.0,2.2,145.2979353435473,9.0,0.0,0.0,2.0,1.0,1.0,1.0,159.11443219785164,2628.0,5.0,22.0,2621.0,0.0
25,How do I declare and initialize an array in Java?,1200621,1200646,https://stackoverflow.com/questions/1200621/how-do-i-declare-and-initialize-an-array-in-java,https://stackoverflow.com/questions/1200621/how-do-i-declare-and-initialize-an-array-in-java/1200646#1200646,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,18.0,1.0,0.0555555555555555,1.0,1.0,1.0,1.0,155.74006685893997,2547.0,4.0,31.0,2491.0,0.0
26,What&#39;s the simplest way to print a Java array?,409784,409795,https://stackoverflow.com/questions/409784/whats-the-simplest-way-to-print-a-java-array,https://stackoverflow.com/questions/409784/whats-the-simplest-way-to-print-a-java-array/409795#409795,6.0,0.0,0.0,1.0,1.0,1.0,3.5,141.15809067038916,21.0,2.0,0.0952380952380952,1.0,1.0,1.0,1.0,154.9384833238382,2368.0,7.0,37.0,2364.0,0.0
27,&quot;implements Runnable&quot; vs &quot;extends Thread&quot; in Java,541487,541506,https://stackoverflow.com/questions/541487/implements-runnable-vs-extends-thread-in-java,https://stackoverflow.com/questions/541487/implements-runnable-vs-extends-thread-in-java/541506#541506,23.0,2.0,0.0869565217391304,4.0,4.0,1.0,6.4,123.70340263324528,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,2348.0,13.0,42.0,2341.0,0.0
28,How to get an enum value from a string value in Java,604424,604426,https://stackoverflow.com/questions/604424/how-to-get-an-enum-value-from-a-string-value-in-java,https://stackoverflow.com/questions/604424/how-to-get-an-enum-value-from-a-string-value-in-java/604426#604426,14.0,0.0,0.0,1.0,2.0,1.0,2.0,145.81791756092954,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,2341.0,1.0,32.0,2336.0,0.0
30,How do you assert that a certain exception is thrown in JUnit tests?,156503,156528,https://stackoverflow.com/questions/156503/how-do-you-assert-that-a-certain-exception-is-thrown-in-junit-tests,https://stackoverflow.com/questions/156503/how-do-you-assert-that-a-certain-exception-is-thrown-in-junit-tests/156528#156528,9.0,2.0,0.2222222222222222,1.0,1.0,1.0,7.0,127.8206877831556,5.0,0.0,0.0,1.0,1.0,1.0,1.0,162.40092285534269,2261.0,5.0,35.0,2256.0,0.0
31,How to use java.net.URLConnection to fire and handle HTTP requests,2793150,2793153,https://stackoverflow.com/questions/2793150/how-to-use-java-net-urlconnection-to-fire-and-handle-http-requests,https://stackoverflow.com/questions/2793150/how-to-use-java-net-urlconnection-to-fire-and-handle-http-requests/2793153#2793153,28.0,9.0,0.3214285714285714,3.0,3.0,4.0,6.857142857142857,121.7928245850772,142.0,22.0,0.1549295774647887,4.0,1.0,1.0,1.0,144.30969930047343,2120.0,2.0,12.0,2112.0,0.0
32,Comparing Java enum members: == or equals()?,1750435,1750453,https://stackoverflow.com/questions/1750435/comparing-java-enum-members-or-equals,https://stackoverflow.com/questions/1750435/comparing-java-enum-members-or-equals/1750453#1750453,14.0,2.0,0.1428571428571428,1.0,1.0,1.0,2.5,142.20299202963935,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,2119.0,3.0,15.0,2114.0,0.0
33,Java inner class and static nested class,70324,70358,https://stackoverflow.com/questions/70324/java-inner-class-and-static-nested-class,https://stackoverflow.com/questions/70324/java-inner-class-and-static-nested-class/70358#70358,32.0,6.0,0.1875,10.0,4.0,1.0,6.444444444444445,120.49403468743618,14.0,0.0,0.0,1.0,1.0,1.0,1.0,157.04690188600063,2053.0,2.0,28.0,2049.0,0.0
34,How do I break out of nested loops in Java?,886955,886979,https://stackoverflow.com/questions/886955/how-do-i-break-out-of-nested-loops-in-java,https://stackoverflow.com/questions/886955/how-do-i-break-out-of-nested-loops-in-java/886979#886979,11.0,0.0,0.0,1.0,1.0,1.0,1.0,158.30094458144848,33.0,0.0,0.0,4.0,1.0,1.0,1.0,151.8981606803743,2049.0,0.0,37.0,2046.0,0.0
35,How to generate a random alpha-numeric string,41107,41156,https://stackoverflow.com/questions/41107/how-to-generate-a-random-alpha-numeric-string,https://stackoverflow.com/questions/41107/how-to-generate-a-random-alpha-numeric-string/41156#41156,19.0,0.0,0.0,3.0,3.0,1.0,9.444444444444445,118.62300510603814,34.0,12.0,0.3529411764705882,8.0,2.0,1.0,5.6875,122.66293856670744,1952.0,8.0,46.0,1947.0,0.0
36,How do I split a string in Java?,3481828,3481842,https://stackoverflow.com/questions/3481828/how-do-i-split-a-string-in-java,https://stackoverflow.com/questions/3481828/how-do-i-split-a-string-in-java/3481842#3481842,13.0,0.0,0.0,2.0,1.0,1.0,1.0,157.2022633412,30.0,1.0,0.0333333333333333,1.0,1.0,1.0,1.0,153.0837736153568,1909.0,0.0,39.0,1901.0,0.0
37,"How can I avoid Java code in JSP files, using JSP 2?",3177733,3180202,https://stackoverflow.com/questions/3177733/how-can-i-avoid-java-code-in-jsp-files-using-jsp-2,https://stackoverflow.com/questions/3177733/how-can-i-avoid-java-code-in-jsp-files-using-jsp-2/3180202#3180202,8.0,0.0,0.0,1.0,1.0,1.0,1.0,159.95690398326485,75.0,0.0,0.0,7.0,1.0,1.0,1.0,146.93906180961116,1765.0,3.0,31.0,1758.0,0.0
38,How do I create a Java string from the contents of a file?,326390,326440,https://stackoverflow.com/questions/326390/how-do-i-create-a-java-string-from-the-contents-of-a-file,https://stackoverflow.com/questions/326390/how-do-i-create-a-java-string-from-the-contents-of-a-file/326440#326440,15.0,0.0,0.0,1.0,2.0,1.0,7.2,124.70802633271197,13.0,0.0,0.0,1.0,1.0,1.0,1.0,157.4322633412,1750.0,14.0,35.0,1747.0,0.0
39,Difference between StringBuilder and StringBuffer,355089,355092,https://stackoverflow.com/questions/355089/difference-between-stringbuilder-and-stringbuffer,https://stackoverflow.com/questions/355089/difference-between-stringbuilder-and-stringbuffer/355092#355092,10.0,0.0,0.0,1.0,1.0,1.0,1.0,158.79655751643097,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1728.0,0.0,33.0,1725.0,0.0
40,How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,10382929,11432195,https://stackoverflow.com/questions/10382929/how-to-fix-java-lang-unsupportedclassversionerror-unsupported-major-minor-versi,https://stackoverflow.com/questions/10382929/how-to-fix-java-lang-unsupportedclassversionerror-unsupported-major-minor-versi/11432195#11432195,11.0,0.0,0.0,2.0,2.0,2.0,7.5,125.42951564866377,22.0,0.0,0.0,1.0,1.0,1.0,1.0,154.69657924253676,1716.0,11.0,51.0,1713.0,0.0
41,How does the Java &#39;for each&#39; loop work?,85190,85206,https://stackoverflow.com/questions/85190/how-does-the-java-for-each-loop-work,https://stackoverflow.com/questions/85190/how-does-the-java-for-each-loop-work/85206#85206,6.0,1.0,0.1666666666666666,1.0,1.0,1.0,1.0,161.45285076001412,6.0,0.0,0.0,1.0,1.0,1.0,1.0,161.45285076001412,1719.0,3.0,29.0,1707.0,0.0
42,How can I convert a stack trace to a string?,1149703,2109985,https://stackoverflow.com/questions/1149703/how-can-i-convert-a-stack-trace-to-a-string,https://stackoverflow.com/questions/1149703/how-can-i-convert-a-stack-trace-to-a-string/2109985#2109985,14.0,2.0,0.1428571428571428,1.0,2.0,1.0,3.8,135.41988460493675,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1689.0,12.0,32.0,1686.0,0.0
43,Why does Java have transient fields?,910374,910522,https://stackoverflow.com/questions/910374/why-does-java-have-transient-fields,https://stackoverflow.com/questions/910374/why-does-java-have-transient-fields/910522#910522,45.0,0.0,0.0,4.0,1.0,1.0,1.0,150.28535505319437,14.0,1.0,0.0714285714285714,2.0,2.0,1.0,10.0,119.5150233794971,1643.0,0.0,15.0,1628.0,0.0
44,Fastest way to determine if an integer&#39;s square root is an integer,295579,424936,https://stackoverflow.com/questions/295579/fastest-way-to-determine-if-an-integers-square-root-is-an-integer,https://stackoverflow.com/questions/295579/fastest-way-to-determine-if-an-integers-square-root-is-an-integer/424936#424936,34.0,0.0,0.0,3.0,1.0,1.0,1.0,151.97292527199596,177.0,7.0,0.03954802259887,1.0,1.0,1.0,1.0,143.8540213906161,1601.0,32.0,37.0,1598.0,0.0
45,Is null check needed before calling instanceof?,2950319,2950415,https://stackoverflow.com/questions/2950319/is-null-check-needed-before-calling-instanceof,https://stackoverflow.com/questions/2950319/is-null-check-needed-before-calling-instanceof/2950415#2950415,8.0,0.0,0.0,1.0,1.0,1.0,1.0,159.95690398326485,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1614.0,3.0,8.0,1578.0,0.0
46,How to add local jar files to a Maven project?,4955635,4955695,https://stackoverflow.com/questions/4955635/how-to-add-local-jar-files-to-a-maven-project,https://stackoverflow.com/questions/4955635/how-to-add-local-jar-files-to-a-maven-project/4955695#4955695,9.0,0.0,0.0,1.0,1.0,1.0,1.0,159.34443219785166,9.0,0.0,0.0,1.0,1.0,1.0,1.0,159.34443219785166,1562.0,4.0,35.0,1560.0,0.0
48,How do I create a file and write to it?,2885173,2885224,https://stackoverflow.com/questions/2885173/how-do-i-create-a-file-and-write-to-it,https://stackoverflow.com/questions/2885173/how-do-i-create-a-file-and-write-to-it/2885224#2885224,17.0,4.0,0.2352941176470588,1.0,2.0,1.0,3.75,134.6248460031941,22.0,2.0,0.0909090909090909,1.0,1.0,1.0,1.0,154.69657924253676,1527.0,2.0,35.0,1520.0,0.0
49,How to round a number to n decimal places in Java,153724,153785,https://stackoverflow.com/questions/153724/how-to-round-a-number-to-n-decimal-places-in-java,https://stackoverflow.com/questions/153724/how-to-round-a-number-to-n-decimal-places-in-java/153785#153785,6.0,0.0,0.0,1.0,1.0,1.0,1.0,161.45285076001412,15.0,0.0,0.0,1.0,1.0,1.0,1.0,156.6881389542685,1444.0,0.0,39.0,1445.0,0.0
50,Why is executing Java code in comments with certain Unicode characters allowed?,30727515,30727799,https://stackoverflow.com/questions/30727515/why-is-executing-java-code-in-comments-with-certain-unicode-characters-allowed,https://stackoverflow.com/questions/30727515/why-is-executing-java-code-in-comments-with-certain-unicode-characters-allowed/30727799#30727799,3.0,7.0,2.333333333333333,1.0,1.0,1.0,1.0,165.05721609892584,13.0,0.0,0.0,2.0,1.0,1.0,4.0,134.74429469105775,1425.0,18.0,8.0,1404.0,0.0
51,What are the -Xms and -Xmx parameters when starting JVM?,14763079,14763095,https://stackoverflow.com/questions/14763079/what-are-the-xms-and-xmx-parameters-when-starting-jvm,https://stackoverflow.com/questions/14763079/what-are-the-xms-and-xmx-parameters-when-starting-jvm/14763095#14763095,8.0,0.0,0.0,1.0,1.0,1.0,8.666666666666666,124.97325914374022,5.0,0.0,0.0,1.0,1.0,1.0,1.0,162.40092285534269,1400.0,3.0,5.0,1398.0,0.0
52,Difference between &quot;wait()&quot; vs &quot;sleep()&quot; in Java,1036754,1036763,https://stackoverflow.com/questions/1036754/difference-between-wait-vs-sleep-in-java,https://stackoverflow.com/questions/1036754/difference-between-wait-vs-sleep-in-java/1036763#1036763,32.0,2.0,0.0625,1.0,1.0,1.0,1.0,152.74817330544144,11.0,0.0,0.0,1.0,1.0,1.0,1.0,158.30094458144848,1339.0,7.0,33.0,1337.0,0.0
54,"Iterating through a Collection, avoiding ConcurrentModificationException when removing objects in a loop",223918,223929,https://stackoverflow.com/questions/223918/iterating-through-a-collection-avoiding-concurrentmodificationexception-when-re,https://stackoverflow.com/questions/223918/iterating-through-a-collection-avoiding-concurrentmodificationexception-when-re/223929#223929,14.0,0.0,0.0,1.0,1.0,1.0,1.0,157.04690188600063,9.0,5.0,0.5555555555555556,1.0,1.0,1.0,1.0,159.34443219785166,1292.0,1.0,31.0,1292.0,0.0
55,Sort ArrayList of custom Objects by property,2784514,2784576,https://stackoverflow.com/questions/2784514/sort-arraylist-of-custom-objects-by-property,https://stackoverflow.com/questions/2784514/sort-arraylist-of-custom-objects-by-property/2784576#2784576,18.0,4.0,0.2222222222222222,3.0,2.0,1.0,8.0,121.59311388372664,18.0,0.0,0.0,2.0,1.0,1.0,1.0,155.51006685893995,1272.0,2.0,29.0,1269.0,0.0
56,Converting &#39;ArrayList&lt;String&gt; to &#39;String[]&#39; in Java,4042434,4042464,https://stackoverflow.com/questions/4042434/converting-arrayliststring-to-string-in-java,https://stackoverflow.com/questions/4042434/converting-arrayliststring-to-string-in-java/4042464#4042464,13.0,0.0,0.0,2.0,2.0,1.0,6.75,126.26767476207208,10.0,1.0,0.1,1.0,1.0,1.0,1.0,158.79655751643097,1256.0,1.0,17.0,1256.0,0.0
57,Converting array to list in Java,2607289,2607335,https://stackoverflow.com/questions/2607289/converting-array-to-list-in-java,https://stackoverflow.com/questions/2607289/converting-array-to-list-in-java/2607335#2607335,10.0,3.0,0.3,1.0,1.0,1.0,4.333333333333333,135.04189700197745,4.0,0.0,0.0,1.0,1.0,1.0,5.5,135.94435022791407,1252.0,4.0,24.0,1251.0,0.0
59,How can I initialise a static Map?,507602,507658,https://stackoverflow.com/questions/507602/how-can-i-initialise-a-static-map,https://stackoverflow.com/questions/507602/how-can-i-initialise-a-static-map/507658#507658,21.0,2.0,0.0952380952380952,1.0,1.0,1.0,1.0,154.9384833238382,9.0,0.0,0.0,1.0,1.0,1.0,1.0,159.34443219785166,1234.0,3.0,43.0,1234.0,0.0
60,How to create a generic array in Java?,529085,530289,https://stackoverflow.com/questions/529085/how-to-create-a-generic-array-in-java,https://stackoverflow.com/questions/529085/how-to-create-a-generic-array-in-java/530289#530289,18.0,0.0,0.0,3.0,1.0,1.0,1.0,155.28006685893996,29.0,2.0,0.0689655172413793,5.0,1.0,1.0,1.0,152.34006168407032,1228.0,3.0,32.0,1226.0,0.0
61,Convert ArrayList&lt;String&gt; to String[] array,5374311,5374359,https://stackoverflow.com/questions/5374311/convert-arrayliststring-to-string-array,https://stackoverflow.com/questions/5374311/convert-arrayliststring-to-string-array/5374359#5374359,13.0,0.0,0.0,2.0,2.0,1.0,6.75,126.26767476207208,9.0,0.0,0.0,1.0,1.0,1.0,1.0,159.34443219785166,1218.0,3.0,6.0,1214.0,0.0
62,How to resolve java.lang.NoClassDefFoundError: javax/xml/bind/JAXBException,43574426,43574427,https://stackoverflow.com/questions/43574426/how-to-resolve-java-lang-noclassdeffounderror-javax-xml-bind-jaxbexception,https://stackoverflow.com/questions/43574426/how-to-resolve-java-lang-noclassdeffounderror-javax-xml-bind-jaxbexception/43574427#43574427,31.0,1.0,0.032258064516129,1.0,1.0,1.0,1.0,152.91326653667724,28.0,1.0,0.0357142857142857,1.0,1.0,1.0,1.0,153.44253654708896,1203.0,7.0,45.0,1202.0,0.0
63,How can I pad an integer with zeros on the left?,473282,473309,https://stackoverflow.com/questions/473282/how-can-i-pad-an-integer-with-zeros-on-the-left,https://stackoverflow.com/questions/473282/how-can-i-pad-an-integer-with-zeros-on-the-left/473309#473309,12.0,0.0,0.0,1.0,1.0,1.0,1.0,157.8484854211024,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1202.0,4.0,19.0,1200.0,0.0
64,How to mock void methods with Mockito,2276271,2278221,https://stackoverflow.com/questions/2276271/how-to-mock-void-methods-with-mockito,https://stackoverflow.com/questions/2276271/how-to-mock-void-methods-with-mockito/2278221#2278221,4.0,4.0,1.0,1.0,1.0,1.0,1.0,163.56126932217657,8.0,0.0,0.0,1.0,1.0,1.0,1.0,159.95690398326485,1172.0,2.0,11.0,1168.0,0.0
65,"What is the difference between canonical name, simple name and class name in Java Class?",15202997,15203417,https://stackoverflow.com/questions/15202997/what-is-the-difference-between-canonical-name-simple-name-and-class-name-in-jav,https://stackoverflow.com/questions/15202997/what-is-the-difference-between-canonical-name-simple-name-and-class-name-in-jav/15203417#15203417,10.0,5.0,0.5,1.0,1.0,1.0,1.0,158.79655751643097,44.0,0.0,0.0,2.0,1.0,1.0,1.0,150.86221390362502,1142.0,5.0,9.0,1134.0,0.0
66,:: (double colon) operator in Java 8,20001427,20001866,https://stackoverflow.com/questions/20001427/double-colon-operator-in-java-8,https://stackoverflow.com/questions/20001427/double-colon-operator-in-java-8/20001866#20001866,19.0,0.0,0.0,4.0,4.0,1.0,6.428571428571429,124.62472938875142,7.0,0.0,0.0,2.0,1.0,1.0,1.0,160.42126722491236,1129.0,19.0,17.0,1127.0,0.0
67,Static Classes In Java,7486012,7486111,https://stackoverflow.com/questions/7486012/static-classes-in-java,https://stackoverflow.com/questions/7486012/static-classes-in-java/7486111#7486111,12.0,0.0,0.0,2.0,1.0,1.0,1.0,157.61848542110238,22.0,2.0,0.0909090909090909,5.0,4.0,1.0,7.0,122.25283482784069,1130.0,2.0,14.0,1127.0,0.0
68,"Download a file with Android, and showing the progress in a ProgressDialog",3028306,3028660,https://stackoverflow.com/questions/3028306/download-a-file-with-android-and-showing-the-progress-in-a-progressdialog,https://stackoverflow.com/questions/3028306/download-a-file-with-android-and-showing-the-progress-in-a-progressdialog/3028660#3028660,78.0,0.0,0.0,12.0,7.0,2.0,7.833333333333333,112.23922635500566,236.0,28.0,0.1186440677966101,22.0,1.0,1.0,1.0,137.5280746138668,1125.0,3.0,16.0,1124.0,0.0
70,How can I get the current stack trace in Java?,1069066,1069074,https://stackoverflow.com/questions/1069066/how-can-i-get-the-current-stack-trace-in-java,https://stackoverflow.com/questions/1069066/how-can-i-get-the-current-stack-trace-in-java/1069074#1069074,6.0,0.0,0.0,1.0,1.0,1.0,1.0,161.45285076001412,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1106.0,7.0,23.0,1102.0,0.0
71,StringBuilder vs String concatenation in toString() in Java,1532461,1532499,https://stackoverflow.com/questions/1532461/stringbuilder-vs-string-concatenation-in-tostring-in-java,https://stackoverflow.com/questions/1532461/stringbuilder-vs-string-concatenation-in-tostring-in-java/1532499#1532499,18.0,2.0,0.1111111111111111,1.0,1.0,1.0,1.0,155.74006685893997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1092.0,7.0,20.0,1090.0,0.0
72,How can I generate an MD5 hash in Java?,415953,415956,https://stackoverflow.com/questions/415953/how-can-i-generate-an-md5-hash-in-java,https://stackoverflow.com/questions/415953/how-can-i-generate-an-md5-hash-in-java/415956#415956,17.0,5.0,0.2941176470588235,1.0,1.0,1.0,1.0,156.0372906109077,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1091.0,2.0,34.0,1086.0,0.0
73,What is the difference between JDK and JRE?,1906445,1906455,https://stackoverflow.com/questions/1906445/what-is-the-difference-between-jdk-and-jre,https://stackoverflow.com/questions/1906445/what-is-the-difference-between-jdk-and-jre/1906455#1906455,6.0,0.0,0.0,1.0,1.0,1.0,4.0,138.9948821098719,1.0,0.0,0.0,1.0,1.0,1.0,1.0,170.77,1070.0,3.0,20.0,1067.0,0.0
